Place,ID,Year,Region1,Region2,Type,CurrentOfstedOverall,MidYearPop,CPPAt3103,"Rate of children who were the subject of a child protection plan at 31 March per 10,000 children ",CLA_Mar2019,"Rate of children looked after at 31 March per 10,000 children aged under 18 years",CINAt3103,CINAt3103NoDisabled,Percentage of children in need at 31 March with a disability recorded,IDACI 2015: Average score (higher score is more deprived),Ppl_SqKm,PrimSecSpec_BME,% Minority Ethnic Pupils
Dudley,332,2015-16,,,Metropolitan borough council,Requires improvement to be good,68018,349,51,725,107,3324,528,16,0.22,3229,9164,23
Sandwell,333,2015-16,,,Metropolitan borough council,Inadequate,78722,356,45,530,68,2356,147,6,0.3,3730,25049,53
Solihull,334,2015-16,,,Metropolitan borough council,Requires improvement to be good,45640,203,45,360,79,1284,235,18,0.16,1183,7790,24
Walsall,335,2015-16,,,Metropolitan borough council,Requires improvement to be good,65073,375,58,625,96,2662,242,9,0.28,2653,15378,37
Wolverhampton,336,2015-16,,,Metropolitan borough council,Good,58317,152,26,655,112,2341,380,16,0.31,3674,17584,51
Knowsley,340,2015-16,,,Metropolitan borough council,Requires improvement to be good,32497,208,64,290,89,1492,159,11,0.34,1702,952,6
Liverpool,341,2015-16,,,Metropolitan borough council,Requires improvement to be good,91116,430,47,1040,114,4129,107,3,0.33,4300,13207,22
St. Helens,342,2015-16,,,Metropolitan borough council,Inadequate,36266,287,79,410,113,1799,291,16,0.26,1302,1060,5
Sefton,343,2015-16,,,Metropolitan borough council,Requires improvement to be good,53184,255,48,465,87,1925,310,16,0.21,1768,2389,7
Wirral,344,2015-16,,,Metropolitan borough council,Requires improvement to be good,67554,404,60,665,99,2682,298,11,0.24,2048,3313,8
Bolton,350,2015-16,,,Metropolitan borough council,Good,66123,221,33,560,85,2465,163,7,0.23,2016,14336,35
Bury,351,2015-16,,,Metropolitan borough council,Requires improvement to be good,42623,252,59,305,72,1705,194,11,0.18,1888,6179,25
Manchester,352,2015-16,,,Metropolitan borough council,Requires improvement to be good,117425,840,72,1250,107,4962,339,7,0.34,4581,40060,61
Oldham,353,2015-16,,,Metropolitan borough council,Requires improvement to be good,58295,329,56,420,72,1877,172,9,0.26,1617,15450,43
Rochdale,354,2015-16,,,Metropolitan borough council,Requires improvement to be good,50836,226,45,480,95,1797,357,20,0.27,1355,10676,36
Salford,355,2015-16,,,Metropolitan borough council,Good,53813,483,90,555,103,2306,358,16,0.28,2523,7122,25
Stockport,356,2015-16,,,Metropolitan borough council,Good,61831,190,31,295,47,1974,265,13,0.16,2286,5663,17
Tameside,357,2015-16,,,Metropolitan borough council,Requires improvement to be good,48980,220,45,430,87,1345,91,7,0.25,2147,6183,21
Trafford,358,2015-16,,,Metropolitan borough council,Inadequate,54179,315,58,330,61,1531,113,7,0.14,2197,10057,30
Wigan,359,2015-16,,,Metropolitan borough council,Good,67610,272,40,485,72,2019,193,10,0.2,1713,2801,7
Barnsley,370,2015-16,,,Metropolitan borough council,Good,49642,409,82,280,56,1628,291,18,0.25,729,2048,7
Doncaster,371,2015-16,,,Metropolitan borough council,Good,65333,399,61,485,74,2490,173,7,0.25,538,5571,14
Rotherham,372,2015-16,,,Metropolitan borough council,Good,56366,368,65,430,76,2222,237,11,0.24,911,6034,16
Sheffield,373,2015-16,,,Metropolitan borough council,Good,115877,363,31,530,46,4170,697,17,0.24,1547,21693,32
Bradford,380,2015-16,,,Metropolitan borough council,Inadequate,139867,511,37,845,60,3848,404,11,0.25,1446,46636,56
Calderdale,381,2015-16,,,Metropolitan borough council,Good,45761,188,41,300,65,1381,105,8,0.21,571,7456,24
Kirklees,382,2015-16,,,Metropolitan borough council,Requires improvement to be good,98730,415,42,655,66,2522,351,14,0.19,1059,22164,39
Leeds,383,2015-16,,,Metropolitan borough council,Outstanding,162588,564,35,1240,76,5711,464,8,0.23,1401,30940,31
Wakefield,384,2015-16,,,Metropolitan borough council,Inadequate,69654,189,27,480,69,2243,99,4,0.22,986,5537,13
Gateshead,390,2015-16,,,Metropolitan borough council,Good,39840,271,68,345,86,1660,260,16,0.23,1417,2285,9
Newcastle upon Tyne,391,2015-16,,,Metropolitan borough council,Requires improvement to be good,56497,424,75,500,88,2360,492,21,0.27,2563,9354,29
North Tyneside,392,2015-16,,,Metropolitan borough council,Outstanding,40407,179,44,290,72,1462,168,12,0.2,2463,2021,8
South Tyneside,393,2015-16,,,Metropolitan borough council,Good,29194,182,62,290,100,1367,197,14,0.28,2306,1375,8
Sunderland,394,2015-16,,,Metropolitan borough council,Inadequate,54332,420,77,545,101,2493,177,7,0.26,2014,2571,8
Isles of Scilly,420,2015-16,,,Council of the Isles of Scilly,Good,386,0,0,0,0,23,0,0,0.01,143,44,19
Bath and North East Somerset,800,2015-16,,,Unitary,Good,34738,147,42,145,42,1081,267,25,0.12,533,2836,12
"Bristol, City of",801,2015-16,,,Unitary,Requires improvement to be good,92782,482,52,675,73,3362,647,19,0.25,4108,17057,36
North Somerset,802,2015-16,,,Unitary,Requires improvement to be good,42610,128,30,220,52,1354,237,18,0.15,562,2586,10
South Gloucestershire,803,2015-16,,,Unitary,Requires improvement to be good,57449,173,30,165,29,1721,296,17,0.12,551,4954,14
Hartlepool,805,2015-16,,,Unitary,Good,19823,127,64,205,104,1053,144,14,0.31,989,701,6
Middlesbrough,806,2015-16,,,Unitary,Inadequate,31948,250,78,375,118,2130,306,14,0.36,2585,4664,25
Redcar and Cleveland,807,2015-16,,,Unitary,Requires improvement to be good,27375,147,54,200,73,1081,156,14,0.27,553,739,4
Stockton-on-Tees,808,2015-16,,,Unitary,Requires improvement to be good,42784,284,66,375,88,2195,186,9,0.23,952,2677,11
"Kingston Upon Hull, City of",810,2015-16,,,Unitary,Inadequate,55521,374,67,645,116,3307,520,16,0.34,3619,5446,17
East Riding of Yorkshire,811,2015-16,,,Unitary,Inadequate,62735,216,34,260,41,1953,262,13,0.13,140,2413,6
North East Lincolnshire,812,2015-16,,,Unitary,Good,34221,221,65,295,86,2029,168,8,0.29,834,1396,7
North Lincolnshire,813,2015-16,,,Unitary,Outstanding,35296,153,43,200,57,1120,133,12,0.21,201,2649,13
North Yorkshire,815,2015-16,,,County,Outstanding,117258,277,24,410,35,2481,519,21,0.11,75,5638,8
York,816,2015-16,,,Unitary,Good,36671,135,37,190,52,986,150,15,0.12,757,2297,11
Luton,821,2015-16,,,Unitary,Inadequate,56035,189,34,380,67,1964,426,22,0.24,4927,24743,76
Bedford Borough,822,2015-16,,,Unitary,Requires improvement to be good,37970,159,42,260,68,1301,172,13,0.19,349,9961,42
Central Bedfordshire,823,2015-16,,,Unitary,Good,59542,225,38,285,48,1518,254,17,0.14,381,5464,15
Buckinghamshire,825,2015-16,,,County,Inadequate,120726,454,38,460,38,2635,520,20,0.1,337,23040,32
Milton Keynes,826,2015-16,,,Unitary,Requires improvement to be good,66280,92,14,345,52,1726,266,15,0.2,853,15824,40
Derbyshire,830,2015-16,,,County,Requires improvement to be good,153445,738,48,585,38,4874,861,18,0.17,307,5798,6
Derby,831,2015-16,,,Unitary,Good,58724,314,54,450,76,2342,308,13,0.25,3254,13713,39
Dorset,835,2015-16,,,County,,77154,409,53,475,62,2609,236,9,0.13,166,3729,7
Poole,836,2015-16,,,Unitary,0,29786,142,48,180,60,1140,219,19,0.16,2316,2140,12
Bournemouth,837,2015-16,,,Unitary,0,34813,148,43,255,73,1396,112,8,0.19,4151,4807,24
Durham,840,2015-16,,,Unitary,Requires improvement to be good,100233,350,35,675,68,3523,377,11,0.24,233,2738,4
Darlington,841,2015-16,,,Unitary,Requires improvement to be good,22674,131,58,205,91,927,112,12,0.22,537,1395,10
East Sussex,845,2015-16,,,County,Outstanding,105922,456,43,545,51,2999,598,20,0.17,319,7112,12
Brighton and Hove,846,2015-16,,,Unitary,Good,51142,392,77,440,85,2347,272,12,0.18,3431,7076,25
Hampshire,850,2015-16,,,County,Outstanding,282110,1441,51,1305,46,8732,1448,17,0.12,369,17766,12
Portsmouth,851,2015-16,,,Unitary,Good,43756,275,63,320,74,1331,147,11,0.24,5212,4697,22
Southampton,852,2015-16,,,Unitary,Requires improvement to be good,49055,333,68,590,120,3444,275,8,0.25,4930,8910,34
Leicestershire,855,2015-16,,,County,Requires improvement to be good,135552,345,26,470,35,2266,403,18,0.12,323,14414,17
Leicester,856,2015-16,,,Unitary,Requires improvement to be good,81977,518,63,645,79,2636,221,8,0.28,4691,31768,71
Rutland,857,2015-16,,,Unitary,Requires improvement to be good,7740,27,35,40,52,260,30,12,0.08,100,378,7
Staffordshire,860,2015-16,,,County,Good,168819,705,42,980,58,5804,817,14,0.15,329,11188,11
Stoke-on-Trent,861,2015-16,,,Unitary,Inadequate,56132,350,62,655,117,3340,414,12,0.29,2694,8734,28
Wiltshire,865,2015-16,,,Unitary,Good,104133,381,37,415,40,2916,382,13,0.11,150,6277,10
Swindon,866,2015-16,,,Unitary,Good,49056,238,49,295,60,1967,217,11,0.17,946,7056,25
Bracknell Forest,867,2015-16,,,Unitary,Good,28139,115,41,100,35,839,89,11,0.11,1090,3110,20
Windsor and Maidenhead,868,2015-16,,,Unitary,Good,33797,145,43,90,26,1013,230,23,0.08,755,6125,33
West Berkshire,869,2015-16,,,Unitary,Good,35796,145,41,155,44,1054,107,10,0.1,224,3361,15
Reading,870,2015-16,,,Unitary,Requires improvement to be good,36426,252,69,220,60,1869,147,8,0.2,4003,9329,53
Slough,871,2015-16,,,Unitary,Requires improvement to be good,40559,230,57,180,44,1601,190,12,0.2,4488,20299,83
Wokingham,872,2015-16,,,Unitary,Requires improvement to be good,37353,65,17,80,22,563,112,20,0.07,901,6509,29
Cambridgeshire,873,2015-16,,,County,Requires improvement to be good,132680,438,33,605,46,3016,143,5,0.13,211,15090,21
Peterborough,874,2015-16,,,Unitary,Good,47640,257,54,360,75,1770,239,14,0.25,564,14591,46
Halton,876,2015-16,,,Unitary,Requires improvement to be good,28279,143,51,240,85,1177,144,12,0.27,1602,771,5
Warrington,877,2015-16,,,Unitary,Good,44468,276,62,345,78,1341,175,13,0.15,1150,3016,11
Devon,878,2015-16,,,County,Inadequate,142591,714,50,710,50,4668,1035,22,0.14,118,5866,7
Plymouth,879,2015-16,,,Unitary,Requires improvement to be good,51868,347,67,405,78,2108,398,19,0.23,3274,3560,11
Torbay,880,2015-16,,,Unitary,Inadequate,25262,130,52,280,111,1179,47,4,0.24,2127,1487,9
Essex,881,2015-16,,,County,Outstanding,302994,582,19,1005,33,6229,1148,18,0.17,417,27211,15
Southend-on-Sea,882,2015-16,,,Unitary,Requires improvement to be good,38427,189,49,260,68,964,172,18,0.23,4292,6121,24
Thurrock,883,2015-16,,,Unitary,Good,40999,291,71,335,81,1834,183,10,0.22,1016,7475,33
Herefordshire,884,2015-16,,,Unitary,Requires improvement to be good,36059,228,63,285,79,1652,47,3,0.14,86,2147,10
Worcestershire,885,2015-16,,,County,Requires improvement to be good,115223,473,41,695,60,3767,512,14,0.16,333,8563,12
Kent,886,2015-16,,,County,Good,330334,1049,32,2315,70,9290,1369,15,0.18,430,36265,18
Medway,887,2015-16,,,Unitary,Inadequate,63103,539,85,430,68,2618,477,18,0.22,1422,9033,23
Lancashire,888,2015-16,,,County,Requires improvement to be good,245325,1460,60,1660,68,10071,684,7,0.18,409,26605,18
Blackburn with Darwen,889,2015-16,,,Unitary,Good,38285,212,55,345,90,1488,143,10,0.24,1079,11984,52
Blackpool,890,2015-16,,,Unitary,Inadequate,28724,364,127,470,164,1889,112,6,0.33,4022,1629,10
Nottinghamshire,891,2015-16,,,County,Good,163263,700,43,815,50,4409,298,7,0.18,387,12814,13
Nottingham,892,2015-16,,,Unitary,Requires improvement to be good,65906,545,83,595,90,3600,614,17,0.35,4275,18382,51
Shropshire,893,2015-16,,,Unitary,Good,59352,266,45,285,48,1614,191,12,0.13,98,2413,7
Telford and Wrekin,894,2015-16,,,Unitary,Outstanding,39208,190,49,300,76,1261,168,13,0.25,591,4331,18
Cheshire East,895,2015-16,,,Unitary,Requires improvement to be good,74987,279,37,390,52,2183,139,6,0.12,322,4774,10
Cheshire West and Chester,896,2015-16,,,Unitary,Good,66246,321,49,460,70,2181,292,13,0.17,364,3358,8
Cornwall,908,2015-16,,,Unitary,Outstanding,105465,405,38,430,41,2938,612,21,0.18,155,3865,6
Cumbria,909,2015-16,,,County,Requires improvement to be good,92933,413,44,660,71,3371,489,15,0.16,74,3076,5
Gloucestershire,916,2015-16,,,County,Inadequate,124796,568,46,560,45,3415,202,6,0.15,233,11030,14
Hertfordshire,919,2015-16,,,County,Good,264237,736,28,1010,38,5589,1025,18,0.13,709,45209,28
Isle of Wight,921,2015-16,,,Unitary,Good,25344,214,84,205,81,1302,237,18,0.2,368,1036,7
Lincolnshire,925,2015-16,,,County,Outstanding,142269,268,19,625,44,3170,326,10,0.18,124,11148,12
Norfolk,926,2015-16,,,County,Requires improvement to be good,167859,458,27,1045,62,10644,1269,12,0.18,164,12323,13
Northamptonshire,928,2015-16,,,County,Inadequate,162633,963,59,995,61,5519,369,7,0.17,305,22895,23
Northumberland,929,2015-16,,,Unitary,Good,59258,361,61,385,65,2900,376,13,0.19,63,1862,5
Oxfordshire,931,2015-16,,,County,Good,141643,571,40,595,42,4636,539,12,0.12,259,17999,23
Somerset,933,2015-16,,,County,Requires improvement to be good,109265,280,26,500,46,2903,605,21,0.15,158,5488,9
Suffolk,935,2015-16,,,County,Outstanding,151574,429,28,795,52,3677,653,18,0.15,197,12514,14
Surrey,936,2015-16,,,County,Inadequate,256602,881,34,865,34,6227,1028,17,0.1,705,29930,23
Warwickshire,937,2015-16,,,County,Requires improvement to be good,112720,473,42,760,68,3195,262,8,0.14,281,11664,17
West Sussex,938,2015-16,,,County,Inadequate,170537,417,25,640,37,3718,369,10,0.13,421,16754,17
"Bournemouth, Christchurch and Poole",839,2015-16,South West,South West,Unitary,Not yet inspected,64599,290,45,435,67,2536,331,14,0.17,6467,6947,18
City of London,201,2014-15,,,City of London Corporation,Outstanding,866,0,0,10,84,36,0,0,0.1,2114,131,80
Camden,202,2014-15,,,London borough,Good,44228,226,51,190,43,2043,410,20,0.27,10832,14587,77
Greenwich,203,2014-15,,,London borough,Good,64766,272,42,520,80,2411,173,7,0.27,5680,22173,65
Hackney,204,2014-15,,,London borough,Requires improvement to be good,59972,216,36,340,57,2848,174,6,0.32,13812,23530,84
Hammersmith and Fulham,205,2014-15,,,London borough,Good,33966,169,50,185,55,1559,177,11,0.27,11080,12177,73
Islington,206,2014-15,,,London borough,Outstanding,39137,171,44,350,90,2094,226,11,0.35,14903,14543,73
Kensington and Chelsea,207,2014-15,,,London borough,Outstanding,27861,61,22,105,38,1011,98,10,0.17,13018,7943,78
Lambeth,208,2014-15,,,London borough,Requires improvement to be good,62115,384,62,485,78,3349,94,3,0.3,11810,25715,86
Lewisham,209,2014-15,,,London borough,Requires improvement to be good,66657,377,57,485,73,2720,440,16,0.3,8259,25694,77
Southwark,210,2014-15,,,London borough,Good,61765,309,50,500,81,3243,175,5,0.3,10492,26313,79
Tower Hamlets,211,2014-15,,,London borough,Good,62881,320,51,275,44,2502,134,5,0.39,14383,32191,90
Wandsworth,212,2014-15,,,London borough,Requires improvement to be good,59935,193,32,225,37,1826,276,15,0.21,9238,19670,74
Westminster,213,2014-15,,,London borough,Outstanding,40633,113,28,180,44,2148,315,15,0.29,10699,16491,86
Barking and Dagenham,301,2014-15,,,London borough,Requires improvement to be good,58844,353,60,450,76,2326,129,6,0.32,5502,23710,71
Barnet,302,2014-15,,,London borough,Good,87821,236,27,305,34,1803,310,17,0.18,4308,31843,69
Bexley,303,2014-15,,,London borough,Outstanding,55565,289,52,275,49,1759,287,16,0.19,3962,14354,38
Brent,304,2014-15,,,London borough,Good,73979,226,31,325,44,1889,198,11,0.27,7404,35610,93
Bromley,305,2014-15,,,London borough,Good,71465,220,31,265,37,2258,439,19,0.17,2142,14368,33
Croydon,306,2014-15,,,London borough,Good,92384,346,38,805,87,3701,393,11,0.23,4359,33346,69
Ealing,307,2014-15,,,London borough,Requires improvement to be good,80272,364,45,355,44,2894,295,10,0.23,6175,36062,84
Enfield,308,2014-15,,,London borough,Good,82050,254,31,355,43,2334,505,22,0.31,4013,37650,79
Haringey,309,2014-15,,,London borough,Requires improvement to be good,59577,248,42,455,76,2382,216,9,0.29,8933,24750,80
Harrow,310,2014-15,,,London borough,Good,56628,172,30,165,29,1594,228,14,0.17,4858,25350,86
Havering,311,2014-15,,,London borough,Good,53277,214,40,240,45,1671,144,9,0.2,2190,9982,30
Hillingdon,312,2014-15,,,London borough,Good,69137,330,48,335,49,2124,163,8,0.21,2518,25495,61
Hounslow,313,2014-15,,,London borough,Good,61400,196,32,295,48,1681,260,16,0.22,4717,26817,78
Kingston upon Thames,314,2014-15,,,London borough,Outstanding,36733,146,40,115,32,889,82,9,0.12,4520,10748,52
Merton,315,2014-15,,,London borough,Good,45680,177,39,155,34,1544,272,18,0.17,5438,15275,67
Newham,316,2014-15,,,London borough,Inadequate,82780,337,41,430,52,4072,500,12,0.29,9062,44726,94
Redbridge,317,2014-15,,,London borough,Outstanding,74574,268,36,215,29,2519,515,20,0.19,5208,39001,84
Richmond upon Thames,318,2014-15,,,London borough,Good,43681,115,26,95,22,895,173,19,0.09,3367,7851,38
Sutton,319,2014-15,,,London borough,Good,45314,250,55,225,50,1952,167,9,0.16,4515,14197,45
Waltham Forest,320,2014-15,,,London borough,Good,64268,234,36,275,43,3076,165,5,0.27,6901,28459,82
Birmingham,330,2014-15,,,Metropolitan borough council,Requires improvement to be good,282191,1280,45,1985,70,9676,1144,12,0.31,4113,108369,67
Coventry,331,2014-15,,,Metropolitan borough council,Requires improvement to be good,73988,695,94,590,79,4135,371,9,0.25,3396,20402,45
Dudley,332,2014-15,,,Metropolitan borough council,Requires improvement to be good,67864,309,46,740,109,3134,636,20,0.22,3222,8672,21
Sandwell,333,2014-15,,,Metropolitan borough council,Inadequate,77705,317,41,540,69,1778,149,8,0.3,3697,23464,51
Solihull,334,2014-15,,,Metropolitan borough council,Requires improvement to be good,45469,218,48,335,74,1349,215,16,0.16,1179,7429,23
Walsall,335,2014-15,,,Metropolitan borough council,Requires improvement to be good,64538,358,56,605,94,2319,272,12,0.28,2635,14504,35
Wolverhampton,336,2014-15,,,Metropolitan borough council,Good,57749,290,50,780,135,2817,360,13,0.31,3647,16696,49
Knowsley,340,2014-15,,,Metropolitan borough council,Requires improvement to be good,32250,201,62,305,95,1372,191,14,0.34,1693,877,5
Liverpool,341,2014-15,,,Metropolitan borough council,Requires improvement to be good,90139,449,50,990,110,4150,24,1,0.33,4243,12150,21
St. Helens,342,2014-15,,,Metropolitan borough council,Inadequate,36416,271,74,410,113,1655,284,17,0.26,1299,1010,5
Sefton,343,2014-15,,,Metropolitan borough council,Requires improvement to be good,53490,253,47,450,84,1720,312,18,0.21,1767,2245,6
Wirral,344,2014-15,,,Metropolitan borough council,Requires improvement to be good,67630,233,35,670,99,2882,353,12,0.24,2047,3114,7
Bolton,350,2014-15,,,Metropolitan borough council,Good,65677,257,39,570,87,2653,182,7,0.23,2009,13473,33
Bury,351,2014-15,,,Metropolitan borough council,Requires improvement to be good,42524,200,47,295,69,1475,201,14,0.18,1883,5807,24
Manchester,352,2014-15,,,Metropolitan borough council,Requires improvement to be good,114749,903,79,1310,113,4758,280,6,0.34,4486,37287,59
Oldham,353,2014-15,,,Metropolitan borough council,Requires improvement to be good,57653,326,57,390,67,1982,154,8,0.26,1603,14490,41
Rochdale,354,2014-15,,,Metropolitan borough council,Requires improvement to be good,50559,259,51,525,104,2136,335,16,0.27,1347,10226,35
Salford,355,2014-15,,,Metropolitan borough council,Good,53057,357,67,585,111,1854,264,14,0.28,2485,6426,23
Stockport,356,2014-15,,,Metropolitan borough council,Good,61481,238,39,290,47,1684,287,17,0.16,2272,5370,16
Tameside,357,2014-15,,,Metropolitan borough council,Requires improvement to be good,48781,212,44,415,86,1457,112,8,0.25,2139,5786,20
Trafford,358,2014-15,,,Metropolitan borough council,Inadequate,53738,252,47,335,62,1453,126,9,0.14,2191,9450,28
Wigan,359,2014-15,,,Metropolitan borough council,Good,67795,320,47,505,74,2519,274,11,0.2,1706,2540,6
Barnsley,370,2014-15,,,Metropolitan borough council,Good,49469,329,67,240,48,1871,303,16,0.25,723,1887,7
Doncaster,371,2014-15,,,Metropolitan borough council,Good,65179,301,46,480,74,2321,154,7,0.25,536,5234,13
Rotherham,372,2014-15,,,Metropolitan borough council,Good,56420,426,76,405,72,2346,170,7,0.24,908,5945,16
Sheffield,373,2014-15,,,Metropolitan borough council,Good,115195,363,32,530,46,4014,603,15,0.24,1531,21225,32
Bradford,380,2014-15,,,Metropolitan borough council,Inadequate,138951,513,37,880,63,3828,442,12,0.25,1440,45840,56
Calderdale,381,2014-15,,,Metropolitan borough council,Good,45651,205,45,320,70,1240,79,6,0.21,569,7345,23
Kirklees,382,2014-15,,,Metropolitan borough council,Requires improvement to be good,98317,343,35,620,63,2613,336,13,0.19,1052,21488,38
Leeds,383,2014-15,,,Metropolitan borough council,Outstanding,160476,612,38,1255,78,6430,414,6,0.23,1387,28984,30
Wakefield,384,2014-15,,,Metropolitan borough council,Inadequate,69152,287,42,495,72,2588,197,8,0.22,980,5102,12
Gateshead,390,2014-15,,,Metropolitan borough council,Good,40057,258,64,335,84,1590,296,19,0.23,1410,2061,8
Newcastle upon Tyne,391,2014-15,,,Metropolitan borough council,Requires improvement to be good,56215,429,76,505,89,2279,482,21,0.27,2541,8714,27
North Tyneside,392,2014-15,,,Metropolitan borough council,Outstanding,40487,169,42,300,75,1406,92,7,0.2,2464,1909,7
South Tyneside,393,2014-15,,,Metropolitan borough council,Good,29302,195,67,295,101,1495,224,15,0.28,2307,1310,7
Sunderland,394,2014-15,,,Metropolitan borough council,Inadequate,54484,406,75,570,105,2843,241,9,0.26,2014,2421,7
Isles of Scilly,420,2014-15,,,Council of the Isles of Scilly,Good,388,0,0,0,0,17,0,0,0.01,140,52,23
Bath and North East Somerset,800,2014-15,,,Unitary,Good,34424,99,29,130,38,1542,307,20,0.12,524,2585,11
"Bristol, City of",801,2014-15,,,Unitary,Requires improvement to be good,91932,439,48,700,76,3133,675,22,0.25,4045,16201,35
North Somerset,802,2014-15,,,Unitary,Requires improvement to be good,42469,122,29,230,55,1323,216,16,0.15,557,2410,9
South Gloucestershire,803,2014-15,,,Unitary,Requires improvement to be good,57051,172,30,175,30,1401,214,15,0.12,545,4518,13
Hartlepool,805,2014-15,,,Unitary,Good,19959,142,71,165,82,1191,152,13,0.31,990,671,5
Middlesbrough,806,2014-15,,,Unitary,Inadequate,31782,231,73,360,113,2069,262,13,0.36,2579,4381,23
Redcar and Cleveland,807,2014-15,,,Unitary,Requires improvement to be good,27330,120,44,185,67,950,182,19,0.27,552,715,4
Stockton-on-Tees,808,2014-15,,,Unitary,Requires improvement to be good,42517,355,84,375,88,1902,137,7,0.23,949,2527,10
"Kingston Upon Hull, City of",810,2014-15,,,Unitary,Inadequate,55362,335,61,660,119,3787,541,14,0.34,3603,4854,16
East Riding of Yorkshire,811,2014-15,,,Unitary,Inadequate,63178,175,28,290,46,1843,252,14,0.13,140,2218,5
North East Lincolnshire,812,2014-15,,,Unitary,Good,34317,226,66,265,77,1941,178,9,0.29,834,1271,6
North Lincolnshire,813,2014-15,,,Unitary,Outstanding,35223,121,34,175,50,1005,152,15,0.21,200,2465,12
North Yorkshire,815,2014-15,,,County,Outstanding,117565,409,35,445,38,2787,529,19,0.11,75,5198,7
York,816,2014-15,,,Unitary,Good,36585,124,34,190,52,1033,153,15,0.12,749,2146,10
Luton,821,2014-15,,,Unitary,Inadequate,54693,241,44,400,73,2480,450,18,0.24,4848,23515,74
Bedford Borough,822,2014-15,,,Unitary,Requires improvement to be good,37402,163,44,255,67,1427,170,12,0.19,344,9214,39
Central Bedfordshire,823,2014-15,,,Unitary,Good,58555,164,28,275,47,1506,252,17,0.14,374,5019,14
Buckinghamshire,825,2014-15,,,County,Inadequate,118896,332,28,435,37,2695,433,16,0.1,333,21522,30
Milton Keynes,826,2014-15,,,Unitary,Requires improvement to be good,65306,57,9,340,52,1584,231,15,0.2,843,14765,38
Derbyshire,830,2014-15,,,County,Requires improvement to be good,154075,644,42,610,40,4659,887,19,0.17,306,5384,6
Derby,831,2014-15,,,Unitary,Good,58267,314,54,470,81,2444,327,13,0.25,3233,13091,37
Dorset,835,2014-15,,,County,,77248,372,48,380,49,2687,255,10,0.13,165,3582,7
Poole,836,2014-15,,,Unitary,0,29683,123,41,170,57,1276,258,20,0.16,2311,1996,12
Bournemouth,837,2014-15,,,Unitary,0,34117,176,52,260,76,1355,148,11,0.19,4107,4396,22
Durham,840,2014-15,,,Unitary,Requires improvement to be good,100287,377,38,615,62,3745,345,9,0.24,233,2552,4
Darlington,841,2014-15,,,Unitary,Requires improvement to be good,22739,86,38,200,88,845,160,19,0.22,536,1274,10
East Sussex,845,2014-15,,,County,Outstanding,105439,469,45,545,52,3351,598,18,0.17,316,6715,12
Brighton and Hove,846,2014-15,,,Unitary,Good,50942,309,61,470,93,2475,330,13,0.18,3390,6600,23
Hampshire,850,2014-15,,,County,Outstanding,281692,1354,48,1335,47,7818,1211,16,0.12,367,16527,11
Portsmouth,851,2014-15,,,Unitary,Good,43341,232,54,320,74,1436,175,12,0.24,5150,4302,20
Southampton,852,2014-15,,,Unitary,Requires improvement to be good,48456,324,67,580,120,1347,37,3,0.25,4850,8254,32
Leicestershire,855,2014-15,,,County,Requires improvement to be good,134753,393,29,470,35,2058,290,14,0.12,320,13812,16
Leicester,856,2014-15,,,Unitary,Requires improvement to be good,80803,431,53,565,70,2211,216,10,0.28,4615,30050,69
Rutland,857,2014-15,,,Unitary,Requires improvement to be good,7711,27,35,35,44,229,30,13,0.08,100,326,6
Staffordshire,860,2014-15,,,County,Good,169607,624,37,930,55,5590,934,17,0.15,328,10306,10
Stoke-on-Trent,861,2014-15,,,Unitary,Inadequate,55778,255,46,610,109,3741,420,11,0.29,2686,8065,26
Wiltshire,865,2014-15,,,Unitary,Good,104021,403,39,405,39,3226,434,14,0.11,149,5795,10
Swindon,866,2014-15,,,Unitary,Good,48625,213,44,250,51,1879,285,15,0.17,939,6445,23
Bracknell Forest,867,2014-15,,,Unitary,Good,27809,122,44,105,37,748,82,11,0.11,1079,2867,19
Windsor and Maidenhead,868,2014-15,,,Unitary,Good,33399,64,19,100,30,841,262,31,0.08,751,5827,32
West Berkshire,869,2014-15,,,Unitary,Good,35677,126,35,170,48,955,102,11,0.1,222,3193,14
Reading,870,2014-15,,,Unitary,Requires improvement to be good,35786,204,57,210,58,1394,158,11,0.2,3967,8541,50
Slough,871,2014-15,,,Unitary,Requires improvement to be good,39829,112,28,195,49,1450,187,13,0.2,4436,19228,82
Wokingham,872,2014-15,,,Unitary,Requires improvement to be good,36869,48,13,75,20,523,109,21,0.07,891,6076,28
Cambridgeshire,873,2014-15,,,County,Requires improvement to be good,131150,387,30,530,40,2993,509,17,0.13,209,14041,19
Peterborough,874,2014-15,,,Unitary,Good,46592,231,50,340,73,1895,218,12,0.25,555,13642,45
Halton,876,2014-15,,,Unitary,Requires improvement to be good,28242,241,85,230,82,1289,164,13,0.27,1600,676,4
Warrington,877,2014-15,,,Unitary,Good,44450,229,52,300,67,1053,167,16,0.15,1144,2767,10
Devon,878,2014-15,,,County,Inadequate,142130,486,34,700,49,5725,1618,28,0.14,116,5497,7
Plymouth,879,2014-15,,,Unitary,Requires improvement to be good,51671,400,77,390,76,1866,353,19,0.23,3263,3240,10
Torbay,880,2014-15,,,Unitary,Inadequate,25077,151,60,305,122,1555,211,14,0.24,2119,1378,8
Essex,881,2014-15,,,County,Outstanding,300324,462,15,1025,34,6286,1237,20,0.17,414,25249,14
